Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
be-my-guest-beige-yellow,"Be My Guest, Beige/Yellow","<p>Discover our ""Be My Guest"" Book in beige, presented in a yellow slipcase - a beautiful way to preserve memories from special occasions and gatherings. With its elegant cloth cover and high-quality pages, there’s plenty of space for heartfelt notes and well wishes. Containing 100 pages, it’s a timeless keepsake to display on your coffee table or shelf.</p>",Printworks,Guest Book,Guest Book,"medium-bag, SS26, YGroup_GuestBook",true,Title,Default Title,,,,,,,,PW00780,990,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_yellow.jpg?v=1767883911,1,,false,,,,"Vendor: Printworks
Type: Guest Book
Weight: 990g",,,,,,,,,,,,,,kg,,,active
be-my-guest-beige-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_guest-book_yellow.jpg?v=1770822126,2,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-beige-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_yellow-3.jpg?v=1770822126,3,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-beige-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_yellow-4.jpg?v=1770822126,4,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-beige-yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_yellow-2.jpg?v=1770822126,5,,,,,,,,,,,,,,,,,,,,,,,
wine-tools-large,"Wine Tools, Premium","<p>Elevate your wine experience with our complete wine kit - a sophisticated toolbox in an elegant, book-like box designed for both connoisseurs and casual enthusiasts. This large edition includes six essential tools for opening, serving, and preserving your wine. A timeless addition to your home bar or a perfect gift for any wine lover. All tools are dishwasher safe. <br><br>Included in this set: <br>• Corkscrew - Effortlessly uncork your favorite bottles with timeless precision and style<br>• Wine Aerator - Enhance every pour - allowing the wine to breathe and reveal its full bouquet<br>• Wine Stopper - Seal your wine elegantly to preserve its aroma and freshness for days<br>• Cork Remover - Gently extract stubborn or broken corks with ease and confidence<br>• Wine Preserver - Keep every drop perfectly fresh by removing air and prolonging flavor<br>• Wine Thermometer - Serve your wine at its ideal temperature for the perfect tasting experience</p>",Printworks,The Essentials,The Essentials,"medium-bag, SS26",true,Title,Default Title,,,,,,,,PW00784,970,shopify,deny,manual,89,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largewine.jpg?v=1767966220,1,,false,,,,"Vendor: Printworks
Type: The Essentials
Weight: 970g",,,,,,,,,,,,,,kg,,,active
wine-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largewine-3.jpg?v=1767966220,2,,,,,,,,,,,,,,,,,,,,,,,
wine-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_Large-Wine_1.jpg?v=1767966220,3,,,,,,,,,,,,,,,,,,,,,,,
wine-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largewine-2.jpg?v=1771837772,4,,,,,,,,,,,,,,,,,,,,,,,
wine-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largewine_4.jpg?v=1771837772,5,,,,,,,,,,,,,,,,,,,,,,,
